id_caso,nombre,nombre_publico,id_ciudad,id_departamento,longitud,latitud,hecho,dinero_juego,dinero_apropiado,id_caso_emblematico,id_icono,id_usuario_creacion,fecha_registro,fecha_informacion_actualizada,publico,activo,subtitulo_publico,no_disponible_dinero_juego,no_disponible_dinero_apropiado,no_disponible_dinero_recuperado,id_rango_dinero,nombrePublico,subtituloPublico,id_actor,nombre_actor,tipo_participacion,tipo_actor_individual,tipo_actor_colectivo,institucion,cargo,rama_poder_publico,autoridad_politica,partido,ciudad,ciudad_codigo_dane,departamento,departamento_codigo_dane,sector,mes_hecho,ano_hecho,ano_final_hecho,dinamica_corrupcion,naturaleza_corrupcion,tipo_corrupcion,medida_anticorrupcion,delito,caso_emblematico,situacion_judicial,detalle_sancion,tipo_investigacion,tipo_etapa_procesal,nombre_actor_autoridad,fecha_historial
103,"2011, Cesar, corrupción administrativa, destitución de funcionarios de la Gobernación del Cesar",¡A dedo!,,596,-73.64812773593746,9.418591008707876,"En 2011, el jefe de la oficina de asunto jurídicos de la Gobernación del Cesar, Manuel Jerónimo Manjarres, y el secretario de gobierno encargado de las funciones del despacho del gobernador del Cesar (2008-2011) Rubén Darío  Carrillo García celebraron un convenio de cooperación por más de 100 millones de pesos bajo la modalidad de contratación directa, omitiendo el trámite de convocatoria pública y selección objetiva de oferentes. El contrato tenía como objeto mejorar las estrategias de comunicación directa de la administración departamental a través de la rendición de cuentas en el municipio de Aguachica. La Procuraduría General de la Nación expresó que al ser avalada la celebración del convenio mediante un concepto  favorable emitido por el jefe de la oficina de asuntos jurídicos, se estaba desconociendo  el régimen legal aplicable en este caso. En 2015, los funcionarios fueron sancionados. Manuel Jerónimo Manjarres fue destituido e inhabilitado por 10 años y Rubén Darío Carrillo por seis meses. En 2016, Manjarres apeló mediante tutela la decisión de la Procuraduría pero le fue negada.",108000000,,3,,1,2017-07-19T11:08:51Z,2015-08-21T05:00:00Z,1,1,Ex servidores de la Gobernación del Cesar omitieron convocatoria pública,0,1,0,2,¡A dedo!,Ex servidores de la Gobernación del Cesar omitieron convocatoria pública,459. 27. 464,Manuel Jerónimo Manjarres. Rubén Darío  Carrillo García,Actor involucrado. Actor de Conocimiento,Servidores públicos.,Entidades del Estado,Gobernación de Cesar.,Jefe de la Oficina de Asesoría Jurídica de la Gobernación de Cesar. Secretario encargado de Gobierno Departamental de Cesar,Rama Ejecutiva. Organismos de control,0,,,,CESAR,20000,Función Pública,,2011,2011,Ausencia o debilidad de procesos y procedimientos para la gestión administrativa y misional,Otros procesos administrativos,Corrupción Administrativa,,,Territorios de concentración/consolidación,Sancionado disciplinariamente,Destituido e inhabilitado por 10 años. Suspendido por 6 meses,Disciplinaria,Fallo: Sanción,Procuraduría General de la Nación,2015
104,"2006-2007, Cesar, Corrupción Administrativa, sanción de exgobernador del Cesar",Al César lo que es del Cesar,,596,-73.57122343906246,9.207181473041187,"Entre 2006 y 2007 la gobernación del Cesar suscribió siete contratos con diferentes consorcios para el desarrollo del Plan Departamental de Aguas, cuya ejecución no se cumplió dentro de los plazos pactados con la administración departamental. En 2008, con la llegada de la nueva administración, en cabeza de Cristian Moreno (2008-2011), debía dársele prioridad al control y vigilancia de la ejecución de estos contratos. Pero, de acuerdo con la Procuraduría General de la Nación , estas acciones no se adelantaron de manera oportuna. En 2015, la Procuraduría impuso una sanción de dos meses al gobernador.",,,3,,1,2017-07-19T11:11:43Z,2015-01-01T05:00:00Z,1,1,Sancionado exgobernador Cristian  Moreno (2008-2011),1,1,0,7,Al César lo que es del Cesar,Sancionado exgobernador Cristian  Moreno (2008-2011),457,Cristian  Moreno,Actor involucrado,Autoridad electa por votación popular,,Gobernación de Cesar,Gobernador (2008-2011),Rama Ejecutiva,1,Partido Alianza Verde,,,CESAR,20000,Servicios Públicos y saneamiento básico,,2006,2011,"Ausencia o debilidad de procesos y procedimientos para la gestión administrativa y misional,",Contratación pública,Corrupción Administrativa,,,Territorios de concentración/consolidación,Sancionado disciplinariamente,Sancionado dos meses,Disciplinaria,Fallo: Sanción,Procuraduría General de la Nación,2015
105,"2010, Cesar, corrupción administrativa, contratos de salud en 3 días",Tres días muy hábiles,,596,-73.62066191562496,9.330519257421662,"Del 27 al 29 de enero de 2010 se firmaron 241 contratos de prestación de servicios y 7 convenios interadministrativos por parte de la Secretaría de Salud del Cesar con hospitales por un valor de 7 mil millones de pesos. El diputado Hilario Añez realizó la denuncia de estas irregularidades y la Contraloría General del Cesar dio inicio a la investigación. Según la denuncia, en esos tres días se firmaron contratos por un valor de 4800 y 2200 millones de pesos, contratos que según el diputado son “casi imposibles” de firmar en tan corto tiempo. Adicionalmente, el diputado manifestó que la contratación por prestación de servicios se convirtió prácticamente en una nómina paralela en la entidad, cuya planta de personal era de 56 funcionarios. La investigación de la Contraloría se enfocó en comprobar si realmente la Secretaría de Salud necesitaba vincular personal de manera masiva y por qué lo hizo en tres días. Igualmente investigó las posibles faltas disciplinarias en las que pudo incurrir la Secretaria de Salud en el momento de los hechos.",7080000000,,3,,1,2017-07-19T11:12:36Z,2011-08-12T05:00:00Z,1,1,En sólo tres días se firmaron 241 de contratos de prestación de servicios en salud,0,1,0,5,Tres días muy hábiles,En sólo tres días se firmaron 241 de contratos de prestación de servicios en salud,501,Ángela María  Salazar,Actor involucrado,Servidores públicos,,Gobernación de Cesar,Secretaria de Salud Departamental del Cesar,Rama Ejecutiva,0,,,,CESAR,20000,Salud,Enero,2010,2010,Baja cultura del control institucional,Contratación pública,Corrupción Administrativa,Movilización ciudadana anticorrupción,,Territorios de concentración/consolidación,Investigado,,Fiscal,Investigación,Contraloría General de la República,2011
108,"2008, La Paz, Cesar, Corrupción Administrativa, captura Secretario de Tránsito",Se embolsillaron mil millones.,1027,596,-73.04052769999998,10.2973955,"En 2008, Ariel Rojas, secretario titular de Tránsito del municipio de La Paz y dos de sus colaboradoras falsificaron documentos y trámites para la matrícula de vehículos, apropiándose así de alrededor de 1000 millones de pesos. En 2009, la Contraloría del Cesar realizó una auditoría en la cual encontró inconsistencias en contabilidad y administración. Las irregularidades halladas responden a falsificación de recibos de consignación de bancos en cuentas a donde nunca llegaron los recursos. Adicionalmente, el órgano de control reveló inconsistencias en 3.892 carpetas de vehículos matriculados. En septiembre de 2010, el secretario fue capturado por agentes del Cuerpo Técnico de Investigación-CTI  de la Fiscalía por los delitos de falsificación en documento y peculado por apropiación. Sus colaboradoras, Elia Cecilia Pérez Guevara y Diana Leonor Arzuaga Morón, habían sido puestas a disposición de la justicia un mes antes.",,1000000000,3,,1,2018-08-16T14:48:45Z,2010-09-18T05:00:00Z,1,1,Capturado secretario de tránsito por falsificación de documentos,1,0,0,7,Se embolsillaron mil millones.,Capturado secretario de tránsito por falsificación de documentos,545. 462. 461,Ariel Rojas. Diana  Arzuaga. Elia  Perez,Actor involucrado,Servidores públicos,,Alcaldía municipal de La Paz. Alcaldía de La Paz-Cesar,Secretario de Tránsito Municipal de La Paz. Digitadora de la Secretaría de Tránsito Municipal de La Paz. Funcionaria de la Secretaría de Tránsito Municipal de La Paz,Rama Ejecutiva,0,,LA PAZ,20621,CESAR,20000,Transporte,,2008,2008,"Baja cultura del control institucional,Extralimitación de funciones",Otros procesos administrativos,Corrupción Administrativa,,"Falsedad en documento público,Peculado",Territorios de concentración/consolidación,Capturado,,Penal,Investigación,Fiscalía General de la Nación,2010
109,"2012, La Paz-Cesar, corrupción administrativa, Gerente de Hospital",Parranda de viáticos y contratos.,1027,596,-73.08447301249998,10.335226034013102,"En 2012, el gerente del hospital de la Paz, Jesús Javier González García incurrió en actos de corrupción. En primer lugar, el funcionario permitió el pago de tres días de viáticos para viajes por sumas superiores a los cinco millones de pesos establecidos por el gobierno nacional a un grupo de funcionarios del hospital, cuando los certificados de asistencia comprobaban la participación de los funcionarios en un evento por sólo un día. Ademas, permitió que otros funcionarios del hospital también se apropiaran de recursos de la entidad a través de los viáticos por una suma cercana a los cuatro millones de pesos. Las irregularidades también se relacionaban con plagio en el Plan de Desarrollo del hospital de la Paz y la celebración de un contrato con valor aproximado de 42 millones de pesos para jornadas de sensibilización a la comunidad para prevención de VIH/SIDA, derechos humanos y fortalecimiento de salud pública, cuyo tiempo de ejecución fue pactado por un mes, pero las actividades sólo se realizaron durante tres días. En 2015, la Procuraduría regional del Cesar comprobó las fallas disciplinarias cometidas y en fallo de segunda instancia confirmó la suspensión del funcionario por nueve meses.",5403809,3700000,3,,1,2018-08-16T14:48:57Z,2015-08-13T05:00:00Z,1,1,Gerente del Hospital de la Paz  investigado por malversación de fondos,0,0,0,1,Parranda de viáticos y contratos.,Gerente del Hospital de la Paz  investigado por malversación de fondos,542,Jesús Javier González García,Actor involucrado,Servidores públicos,,Hospital Marino Zuleta de La Paz,Gerente,,0,,LA PAZ,20621,CESAR,20000,Salud,,2012,2012,"Ausencia o debilidad de procesos y procedimientos para la gestión administrativa y misional,Extralimitación de funciones",Otros procesos administrativos,Corrupción Administrativa,,Peculado,Territorios de concentración/consolidación,Sancionado disciplinariamente,suspensión del cargo por 9 meses,Disciplinaria,Fallo de segunda instancia,Procuraduría Regional del Cesar,2015
11,"2007-2011, Caquetá, Corrupción Administrativa - Privada, Oficina de Instrumentos Públicos de San Vicente del Caguán - INCODER",La feria de las titulaciones,966,594,-74.77320559999998,2.1136446,"Entre 2007 y 2011, se habrían otorgado, de manera irregular, tierras a empresarios y finqueros usando falsa papelería, logos y sellos de la oficina de Registro de Instrumentos Públicos en San Vicente del Caguán y Florencia, con la firma ficticia de la directora de una de las oficinas de la época. En 2013, la Contraloría General de la República evidenció la titulación irregular de más de 150.000 hectáreas adjudicadas por el Instituto Colombiano de Desarrollo Rural-INCODER. Adicionalmente, se hallaron dos oficios ficticios que facultaban, con la firma del director del INCODER en Caquetá, dicha titulación. La Contraloría General de la República consideró que la Superintendencia de Notariado y Registro no investigó las conductas de los notarios que autorizaron estas escrituras. Las tierras estaban avaluadas en 2,8 billones de pesos.",2850000000000,,3,2,1,2018-08-24T11:33:45Z,2014-08-01T05:00:00Z,1,1,Se titularon tierras de manera ilegal en Caquetá,0,1,0,6,La feria de las titulaciones,Se titularon tierras de manera ilegal en Caquetá,206. 30. 46. 204. 198. 203. 199. 201. 205. 200. 47. 45. 202,Ancízar  Marín Correa. Instituto Colombiano de Desarrollo Rural - INCODER. Janised  Hernández Soto. Jorge  Guzmán Martínez. Jorge Eliécer  Hernández Soto. Luz Mila  Saez Rodríguez. Mario Trujillo Sáenz. Martha Lucía  Marín Correa. Naime  Muñoz Sáenz. Notarios del Caquetá. Oficina de Registro de Instrumentos Públicos de San Vicente del Caguán. Yudi Lorena  Hernández Soto,Actor involucrado. Actor de Conocimiento,Autoridad electa por votación popular.  Miembro del tercer sector. Actor privado con funciones públicas por colaboración,Entidades del Estado,Asamblea Departamental del Caquetá. Instituto Colombiano de Desarrollo Rural - INCODER. Notarías del Caquetá. Oficina de Registro de Instrumentos Públicos de San Vicente del Caguán,Diputado.  Adjudicataria de titulación. Adjudicatario de titulación. Notarios,Organismos de control,0,,SAN VICENTE DEL CAGUAN,18753,CAQUETA,18000,Agricultura y desarrollo rural,,2007,2011,"Ausencia o debilidad de procesos y procedimientos para la gestión administrativa y misional,Baja cultura del control institucional,Bajos estándares éticos",Otros procesos administrativos,Corrupción Administrativa,,"Falsedad en documento público,Fraudes",Territorios de concentración/consolidación,Investigado,,Fiscal,Investigación,Contraloría General de la República,2014
113,"2008, Cesar, corrupción administrativa, contratación directa Gobernación del Cesar",¡Para eso son los amigos!,,596,-73.54925078281246,9.209892658309013,"En 2008, la Gobernación del Cesar celebró un contrato de 350 horas de buldózer para la adecuación de vías terciarias en las veredas Montecristo y San Martín por un valor que rodea los 85 millones de pesos, de forma directa y no mediante licitación pública. El contrato le fue adjudicado a Wilber Ustáriz, contratista que tenía antecedentes penales. En 2011, la Contraloría General de la República abrió investigación sobre el caso por presunto interés indebido en la celebración de contratos para favorecer a dicho contratista que, según denuncias de un diputado del cesar, era amigo personal del gobernador (2008-2011). En 2011, Wilber Ustáriz Martínez, fue capturado en la ciudad de Barranquilla por vínculos con el narcotráfico y el paramilitarismo.",84500000,,3,,1,2018-08-22T10:50:10Z,2011-09-13T05:00:00Z,1,1,Exgobernador del Cesar (2008 y 2011) contrató con investigado por narcotráfico y paramilitarismo,0,1,0,1,¡Para eso son los amigos!,Exgobernador del Cesar (2008 y 2011) contrató con investigado por narcotráfico y paramilitarismo,30. 457. 28. 458,Cristian  Moreno. Wilber  Ustáriz,Actor de Conocimiento. Actor involucrado,Autoridad electa por votación popular. Miembro del tercer sector,Entidades del Estado.,Gobernación de Cesar.,Gobernador (2008-2011).,Organismos de control. Rama Ejecutiva. Rama Judicial.,0. 1,Partido Alianza Verde.,,,CESAR,20000,Infraestructura y Planeación,,2008,2008,"Amiguismo y clientelismo,Baja cultura del control institucional",Contratación pública,Corrupción Administrativa,,Celebración indebida de contratos,Territorios de concentración/consolidación,Capturado,,Penal,Investigación. Fallo: culpable,Contraloría General de la República. Fiscalía General de la Nación,2011
114,"2011, Cesar, corrupción política, manipulación de sufragantes por Gobernador",Voto de interés social,,596,-73.56847685703121,9.483614209684783,"En 2011, Luis Alberto Monsalvo Gnecco,exgobernador del Cesar (2012-2015) autenticó en la notaría segunda del circuito de Valledupar el compromiso de no permitir que las familias de un sector de invasión conocido como “Tierra Prometida”, en Valledupar, fueran desalojadas legalmente, a cambio de que votaran por él en las elecciones a gobernación. Adicionalmente, el mandatario aseguró incluir a las familias en proyectos de vivienda digna requerida para el sector. El hecho se dio a conocer cuando en 2012 se emitió una orden de desalojo contra las familias, las cuales, indignadas, marcharon hacia la gobernación exhibiendo el documento que había firmado el gobernador.",,,3,,1,2017-07-19T11:16:17Z,2017-01-20T05:00:00Z,1,1,Exgobernador del Cesar(2012-2015)  logró votos tras engañar a familias que ocupaban un predio de manera ilegal,1,1,0,7,Voto de interés social,Exgobernador del Cesar(2012-2015)  logró votos tras engañar a familias que ocupaban un predio de manera ilegal,564,Luis Alberto  Monsalvo Gnecco,Actor involucrado,Autoridad electa por votación popular,,Gobernación de Cesar,Gobernador (2012-2015),Rama Ejecutiva,1,Partido de la U,,,CESAR,20000,Electoral,,2011,2011,Bajos estándares éticos,,Corrupción Política,Movilización ciudadana anticorrupción,Corrupción al sufragante,Territorios de concentración/consolidación,Imputado,,Penal,Auto de imputación,Fiscalía General de la Nación,2017
115,"2006-2007, Cáceres, Antioquia, Corrupción administrativa, Secretario Municipal de Planeación",Satisfechos con medio poste de luz,636,588,-75.34954499999998,7.579028999999998,"Entre 2006 y 2007 se presentaron irregularidades en un contrato de electrificación de la vereda Campamento, en el municipio de Cáceres. En efecto, el Alcalde Marco Tulio Torres Blanco (2004-2007), el Secretario de Planeación Municipal, Benito Antonio Pacheco, y el interventor del contrato Gustavo Adolfo Monterrosa Orozco, recibieron la obra a pesar de que se utilizaron materiales diferentes a los autorizados en su construcción y a pesar de que no fue terminada. En julio del 2011, la Procuraduría sancionó en primera instancia a los funcionarios. Paralelamente Pacheco se encontraba en campaña para la Alcaldía de Cáceres. Al haber presentado un recurso de apelación, el candidato pudo participar en las elecciones de las cuales salió victorioso. Sin embargo, en octubre del 2011, la Procuraduría falló en segunda instancia, sancionando con 11 años de inhabilidad a los investigados.",,,3,2,1,2017-07-19T09:20:52Z,2012-01-03T05:00:00Z,1,1,Alcalde y funcionarios de Cáceres reciben obra de electrificación incompleta,1,1,0,7,Satisfechos con medio poste de luz,Alcalde y funcionarios de Cáceres reciben obra de electrificación incompleta,471. 473. 472. 27,Benito Antonio Pachecho. Gustavo Adolfo Monterrosa. Marco Tulio Torres Blanco,Actor involucrado. Actor de Conocimiento,Autoridad electa por votación popular. Miembro del tercer sector.,Entidades del Estado,Alcaldía de Cáceres.,Alcalde (2012-2015). Interventor de contrato. Alcalde (2004-2007),Rama Ejecutiva. Organismos de control,1. 0,Partido Liberal Colombiano. Otro.,CACERES,5120,ANTIOQUIA,5000,Servicios Públicos y saneamiento básico,,2006,2007,Ausencia o debilidad de procesos y procedimientos para la gestión administrativa y misional,Contratación pública,Corrupción Administrativa,,,Territorios de concentración/consolidación,Sancionado disciplinariamente,Destituido e inhabilitado por 11 años,Disciplinaria,Fallo: Sanción,Procuraduría General de la Nación,2011
116,"2006, Caucasia, Antioquia, Corrupción administrativa, Contrato de relleno de vías",Recibimiento de héroe,646,588,-75.19674680000003,7.9878573,"El 13 de enero del 2006, el jefe de planeación y Alcalde encargado de Caucasia, José Darío Bedoya Hincapié, firmó un contrato en nombre del municipio para el relleno y mantenimiento de vías por un valor superior a 100 millones de pesos. En una investigación realizada por la Fiscalía, se detectaron irregularidades en el contrato. En efecto, el ente acusador encontró que no fueron definidas las vías que debían someterse a mantenimiento ni la cantidad de material que iba a ser utilizado para dicha tarea. En febrero del 2012, la Fiscalía impuso detención domiciliaria preventiva sobre el acusado. Tras interponer un recurso de apelación, un juez condenó en mayo del 2014 al ex Alcalde encargado a 10 años de prisión. En octubre del 2014, el funcionario público llegó al municipio escoltado por una caravana de seguidores, hecho que sorprendió porque el ex alcalde encargado debía encontrarse supuestamente en prisión. Al ser cuestionado por su presencia en el municipio, José Darío Bedoya presentó un documento de la Procuraduría que certificaba que no registraba impedimentos para ejercer el cargo de Alcalde. Sin embargo, no hay actualizaciones sobre el estado judicial del implicado después del 2014.",100451240,,3,2,1,2018-08-16T14:49:10Z,2014-05-28T05:00:00Z,1,1,Ex Alcalde encargado incurre en irregularidades contractuales,0,1,0,2,Recibimiento de héroe,Ex Alcalde encargado incurre en irregularidades contractuales,28. 474,José Darío Bedoya Hincapié,Actor de Conocimiento. Actor involucrado,Servidores públicos,Entidades del Estado.,Alcaldía de Caucasia-Antioquia,Alcalde Encargado,Rama Judicial. Rama Ejecutiva,0. 1,,CAUCASIA,5154,ANTIOQUIA,5000,Infraestructura y Planeación,Enero,2006,2006,,Contratación pública,Corrupción Administrativa,,"Celebración indebida de contratos ,Peculado",Territorios de concentración/consolidación,Condenado penalmente,10 años de cárcel,Penal,Fallo: culpable,Fiscalía General de la Nación,2014
